job_title,job_description,data_listed,location,salary
Data Scientist,"Where you’ll be working:You will be working with a huge brand name company that have major plans for 2020! This company has huge amounts of data at their disposal and a team that focuses on using the latest open source tools in the market!This is a 6 month initial contract with extension options.This company has very cool products that are used by millions across Australia! Who Are you?You will come from a strong Data Science background with solid coding ability built up through extensive commercial experience.This role will see you work with stakeholders to plan and design analytics projects. You will be working across a range of tech stacks to create insights and models that improve the performance of this company's unique products. Skills Required:At least 2 yrs experience working as a Data Scientist with Big Data setsAble to code in either: Python or RStrong SQL skillsAWS - S3, Redshift etcGoogle AnalyticsPhD would be favourable (Machine Learning, Stats, Maths, Computer Science etc)Clear Communication Skills What’s in it for you?This is a rare chance to take your career to the next level with a company that is 100% dedication to Data. You will work with other likeminded people who love DATA! There is an attractive salary, cutting edge technology and cool offices!This company works in a very innovative industry that is fun to work in and provides a very welcomed change from the usual data work found in financial services. Next StepsIf this sounds like the perfect job role for you, please apply within or contact Adam on 0299931072.", '10 Feb 2020', 'Sydney',146000.0
Data Scientist,"





 Data Scientist | Python | Strong Business Acumen |
Stakeholder Management | $130k base 
 Working closely with the Senior Manager, you will support the
business units with their business problems via an automated machine learning
platform.   

 This is an exciting time where you will be working
collaboratively with various business units to deliver insightful solutions
through the application of machine learning capabilities. You will be
responsible for building and managing collaborative relationships with a broad
audience of stakeholders, where you will represent the team and it’s capability
as the banks leading data science division. Through these relationships you
will identify new use cases and projects for the team to tackle. 

 To be considered for this role you will need: 
 A
degree in any of the following (or similar)is a must; Mathematics, Physics,
Computer Science, Engineering, Statistics  Strong
business acumen  Strong
stakeholder management and relationship building skills  A
sound understanding of Python and SQL  Analytical
tools in Excel (VBA) and Tableau.  Have
had experience in cloud based big data environments  Be
a keen number cruncher and enjoy data mining 
 You will be working in a team where curiosity is welcomed,
and commercial acumen is integral to the success of the role. Whilst a
good sense of humour is mandatory. 

 If you’re interested in being considered for this great
opportunity, then please send your resume to    ailbhe.lynch@tomexecutive.com 

", '5 Feb 2020', 'Sydney',130000.0
Data Scientist,"About the company  My client is a company that specialises within the Data Science space – specifically within areas such as Machine Learning and AI. Their foremost goal is to create distinct AI applications and platforms that are available to everyone, from individuals all the way up to big corporations.    About the role Within this position as a Data Scientist you will be working heavily alongside other top-tier Data Scientists and Software Engineers to provide exceptional product outcomes. You will be responsible for the architecture and development of scalable data engineering and machine learning services.    Skills & experience  You will preferably have 3 years’ experience working with:  Java 8 / Python / R Spark / Hadoop Kotlin / Scala / Go AWS or GCP  You will have:  Experience within Deep Learning, Data Structures, & Algorithms Experience within NLP / NLU Highly skilled within Machine Learning & AI Full working rights (PR / Citizenship) PhD in Computer Science or equivalent Solid stakeholder experience     Benefits  Attractive salary + stock options Flexible work / life balance Strong opportunity to learn and grow professionally Working with cutting-edge tech    How to apply  Click APPLY or Call Brianna on 03 9245 0609 for a confidential discussion.", '30 Jan 2020', 'Melbourne',160000.0
Data Scientist,"   About Them: This tech start up are on a mission to make residential property an accessible investment for all Aussies. In order to do this, they building the most innovative investment team, systems and tools to help guide our decision making process.    As part of the team, you’ll work on building tools that will be driving real investment decisions.       What will you be doing:    As a Data Engineer, you will be a part of our investments team. You’ll help to build and maintain the underlying property database that will drive and guide our investment analysis, models and decisions. The Australian property market is full of data, we need to make sure we have the most accurate and up to date information in the industry.    A key part of the role will be making the data accessible, digestible and working with the team to build investment tools for our internal analysis and reporting.       What skill we’re looking for:  Architect, build, launch, and manage data models to enable analytics Experience with various data storage solutions Design, build, and manage data warehouse(s) Design, build, improve, and manage data pipelines and ETL jobs Build data expertise and own data quality and reliability for the information pipelines you build You enjoy making sense of large datasets and creating the tools to do so Previous experience in a similar roles Qualifications in Computer Science, Engineering, Physics, Science, Math or some other quantitative background will be beneficial (but aren’t a requirement)     In addition to the skills and expertise details above, the successful candidate will have:  You have a passion for solving problems and you have the skills to make it happen. A great attitude towards their work and our whole team Communicate clearly with the team and work well in a cohesive environment ", '3 Feb 2020', 'Sydney',174720.0
Data Scientist,"A brand new and exciting 6 month contract has become available with a leading Australian brand. As a Data Scientist, you will be part of a new customer-centric project in this New Year, with an extensive pipeline of projects ahead!This is an opportunity for an experienced Data Scientist who wants to work on a new and distinct business problems by exploring and designing sophisticated Machine Learning/AI models. Reporting into the Analytics Manager and sitting with a collaborative and tight-knit team, you will be able to see how your contribution can drive a real change in experience for customers.  Key Responsibilities:Using multiple data sets and sources to streamline analysis and generate algorithms to better understand customer behavior and preferences.Explore, design and implement sophisticated Machine Learning/AI techniqueWork closely with other internal teams to better understand the available dataLeverage new open data sources and extract further value from existing company dataEngage with various stakeholders and translate business requirements Skills Required:Tertiary Qualification/Ph.D. in a quantitative discipline - mathematics, statistics, operation researchAdvanced SQL/R/Python programming skillsAbility to interact proactively with internal and external customersAn inquisitive mind, passionate about deriving insights from data The successful candidate will have hands-on experience in a Data Science role, solving customer-centric business problems. If this includes segmentation, NLP and predictive modelling then we would love to review your application.Click 'apply' or contact Corrin on 03 8330 5003 for more information.IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.http://www.bluefinresources.com.au/privacy-policy", '4 Feb 2020', 'Melbourne',255500.0
Data Scientist - Banking,"In this role you will be adding commercial value to the business through the design, delivery and interpretation of predictive models and segmentation using Customer Data data. You will also be working closer with internal stakeholders to create modelling briefs, build robust and significant targeting models   Key responsibilities: • Building, maintaining and maximising the value of models. • Engaging stakeholders to ensure models are supporting commercial objectives.  • Maximising your own potentialWorking closely with the product and marketing teams to drive data driving decision making and really adding value. The ideal candidate will have: • Experience in propensity modelling, churn prediction, acquisition modelling, retention, cross-sell and up-sell models, Next Best Action systems, uplift modelling, segmentation, scores arbitration, category models, price modelling, etc.  • Extensive data mining technical understanding and advanced analytic skills. • Advanced use R and Python would be highly desirable  • Strong data manipulation skills in SQL and SAS. • Good stakeholder management and presentation skills.   In addition to the required technical skills and experience, we highly value somebody who shows a passion for customer analytics,   You will be rewarded with a competitive salary plus an excellent benefits package, including discounts in stores, annual bonus, pension scheme and much more.Please apply immediately with an up to date CV. Alternatively to hear more please get in touch Leon on (02) 8986 3147 or lyoung@morganmckinley.comSK920800A", '5 Feb 2020', 'Sydney',80000.0
Data Scientist - Remediation Analytics,"Join a high-performing and collaborative team of data engineers and data scientists within cross-functional Remediation squads to support the timely resolution of Events across the Customer Experience (CX) Business UnitWhat you'll be doing:Creating analytical tools and models to quantify the number of customer impacted by different types of EventsDeveloping financial calculators to determine the appropriate customer compensation to ensure customers are remediated fairly, accurately and in a timely mannerAdopting cutting edge cloud based analytics technology and collaborating with the Enterprise Data teamBuilding, testing and documenting calculators/models used in customer remediation events and ensuring that they comply with the Model Risk PolicyManaging the hygiene and quality of your analysis which includes documentation (e.g. processes, assumptions, risks on Wiki/Confluence/Teams), version control (e.g. GIT) and peer reviews What you'll need: Predictive and financial modelling experienceEngineering principles such as data sourcing, cleansing, joining and ETLMachine learning (supervised and unsupervised)Awareness of ethical and regulatory constraints in utilising various data setsPreferred knowledge of text analytics/dealing with unstructured dataUnderstanding of statistical techniques and approaches and the application of these for customer event analysisSQL and Coding abilities in either Python or RData visualisation (e.g. Tableau, Qlik)To apply please click apply or call Melissa Chin on +61 3 8628 2171 for a confidential discussion.", '3 Feb 2020', 'Melbourne',110000.0
Data Scientist APS 6,"As a Data Scientist APS 6 you will bring your knowledge and expertise in Machine Learning techniques, to support the broader organisation and business units.Client DetailsOur client is a highly regarded government department focused on delivering data strategies to both internal and external private and public sector clients. This business unit is responsible for providing, guidance, expertise and support to the organisations overall goal in contributing to regular, relevant and accurate information and statistics.DescriptionAs the Data Scientist APS 6 you will be responsible for:-Maintaining and developing knowledge of techniques and tools required to derive value from application of machine learning  Developing training materials and courses  Advising on appropriate application of machine learning techniques and supporting effective design of projects using these techniques  Reviewing and commenting on quality of work and projects  Conducting application of machine learning techniques within larger projects as required  Advising on ongoing development and acquisition of tools suitable to business requirements  Gaining satisfaction through the passing of knowledge and skills to others  ProfileThe successful Data Scientist APS 6 will have:A proven ability to undertake the responsibilities and requirements of the role, as listed above.An eagerness to solve complex problems in environments that are often ambiguous, technologically challenged and require creative and lateral thinking An ability to work within a multidisciplinary team to seek requirements for analysis, output format and visualisation, and provide requirements to business units Exposure to Machine Learning techniques and toolsAnalysis and programming skills in SAS, R, SQLStatistics and Quantitative analysis experienceUnderstanding of ETL processes and proceduresJob OfferOn offer for your hard work you will have the opportunity to take your IT career to the next level in an energetic and fast-paced team. Also on offer are the following:Great IT training and development  Competitive salary package  Great Canberra location  How to contact usIf you currently looking for opportunities and feel this role is right for you please contact us via email () or phone (02 6222 8946). If you feel this role might not be best suited to your skill set however would like to have a confidential discussion on your career, please get in touch.To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Madeleine Silvester on +61 2 6222 8946.", '5 Feb 2020', 'ACT',80000.0
Data Scientist,"Lead Data ScientistThe CompanyA major Australian Brand in the Financial Services industry are looking to transform the way they use customer data to engage and retain customers. They have a brand new opportunity for a Data Scientist to join their dynamic team and work closely with business partners to understand the business objectives and challenges to design analytical solutions to meet business goals. This is a client facing and stakeholder management role.RoleReporting into a passionate Senior Manager you'll work closely with the Product, Marketing Distribution and Operations teams to make informed decisions through the application of data mining, predictive analytics and machine learning techniques.Key ResponsibilitiesPerform deep dives/investigations where required to provide an accurate and deep understanding of the business drivers.Work in partnership with senior managers to develop tailored business solutions. Collect, analyse and present actionable insights to enable strategic business plans.Build a deep understanding of the relevant data & systems landscape & optimise the data extraction processes to be as reliable as possible & meet ongoing reporting & ad hoc analytics needsEnsure adequate risks and controls exist to provide accurate information and capture and document business logic changes.A clear ability to generate insights from data, engage and communicate those insights to non-technical business stakeholders.About You3 years’ experience in statistical modelling in a big data environment (Hadoop/Spark/R/Python) in Financial Services/Banking or similar industryB.S. in Mathematics, Computer Science, Engineering or StatisticsProven experience in analytics, reporting & generating actionable insightsKnowledge of a variety of statistical and data mining techniques (regression, statistical tests and proper usage, random forest, clustering, decision tree learning, deep learning text mining etc.) and their real-world advantages/drawbacksProficient in responsive and interactive visualisations - D3, RShiny etc, publish to web server capabilityCode development best practice - git, bitbucketAGILE and Project Management tool proficiencyThis is a great opportunity to work with a market leading brand that offers excellent training and development to support continuous learning and careers opportunities.Please apply on-line or for more information please contact Kausty Mahajan at Bluefin Resources on 02 9270 2603. IMPORTANT: By submitting your email address and any other personal information when you APPLY to a job, you consent to such information being collected, held, used and disclosed in accordance with our COLLECTIONS NOTICE and PRIVACY POLICY.http://www.bluefinresources.com.au/privacy-policy", '31 Jan 2020', 'Sydney',130000.0
Data Scientist - Retail Banking,"Data Scientist – Banking       This is an excellent opportunity to join a leading Financial Services business within their Retail banking arm, who have been on an exciting journey in Data Science & Analytics. Your focus will be helping to drive and improve the Data Science capabilities to understand and overcome challenges facing the business. You will enjoy taking the reins on business problems and will have experience dealing with multiple stakeholders at any one time, to understand their headaches and to be able to work autonomously to come up with solutions and bring the business on the journey of Data Science capabilities. The ideal candidate will have:  An ability to understand what the commercial outcomes of the business are and how to drive this through machine learning capabilities. Strong examples of Use cases you have worked on and what the outcome was and the problems that you faced. Excellent academics A consulting personality who can explain complex machine learning concepts to non-technical audiences   Exposure to SQL, R & Python and Big Data/Cloud would be advantageous. If this sounds like a role you would excel in, then please do get in touch with Rob.Anderson@tomexecutive.com  ", '21 Jan 2020', 'Sydney',110000.0
