,job_title,job_description,job_info_text
0,Data Scientist,"Our client is a global Oil and Gas industry leader that has had a presence in Australia for over 113 years.As a Data Scientist, you would be responsible for analysing raw information to find patterns that will help to improve the business as well as you will be relied upon to build data products to extract valuable insights that also assist in business improvement.Your daily duties may include but are not limited to:Identify data sources and automate the collection process;Pre-processing of both structured and unstructured data;Build machine learning algorithms and predictive models and combine said models through ensemble modeling;Develop and implement strategies and solutions to challenges using data visualisation techniques; andCollaboration with development and engineering teams.The successful candidate will possess:BSc/BA in Computer Science, Engineering or relevant field or a graduate degree in Data Science or other quantitative fields;Previous experience as a Data Scientist or Data Analyst;Demonstrated experience in data mining;Proven understanding of machine-learning and operations research;Experience using intelligence tools and data frameworks;Demonstrated experiencing using R, SQL, and Python; familiarity with Scala, Java or C++ is highly desired;Exceptional math skills (statistics, algebra, etc.);Superior communication and presentation abilities is a MUST; andPrevious experience with the oil and gas industry would be desired but not essential. You must have an analytical mind that is adept in problem-solving. You will have a passion and flair for statistics and analytics paired with critical thinking and problem solving to be successful for this role. Our client really wants to see a passion for helping a company to make better business decisions as well as a real passion for machine- learning and research.Should this sound like the next best career move for you, please express your interest by clicking APPLY NOW!Should you have any further questions, please feel free to reach out to Kayla Desbrow on 07 3225 7500 or kayla.desbrow@ipa.com.au.  ","['Try the app', 'Data Scientist', '11 Feb 2020', 'Brisbane', 'Contract/Temp', 'Information & Communication Technology', 'Share this role', '11 Feb 2020', 'Brisbane', 'Contract/Temp', 'Information & Communication Technology']"
1,Data Scientist,"Where you’ll be working:You will be working with a huge brand name company that have major plans for 2020! This company has huge amounts of data at their disposal and a team that focuses on using the latest open source tools in the market!This is a 6 month initial contract with extension options.This company has very cool products that are used by millions across Australia! Who Are you?You will come from a strong Data Science background with solid coding ability built up through extensive commercial experience.This role will see you work with stakeholders to plan and design analytics projects. You will be working across a range of tech stacks to create insights and models that improve the performance of this company's unique products. Skills Required:At least 2 yrs experience working as a Data Scientist with Big Data setsAble to code in either: Python or RStrong SQL skillsAWS - S3, Redshift etcGoogle AnalyticsPhD would be favourable (Machine Learning, Stats, Maths, Computer Science etc)Clear Communication Skills What’s in it for you?This is a rare chance to take your career to the next level with a company that is 100% dedication to Data. You will work with other likeminded people who love DATA! There is an attractive salary, cutting edge technology and cool offices!This company works in a very innovative industry that is fun to work in and provides a very welcomed change from the usual data work found in financial services. Next StepsIf this sounds like the perfect job role for you, please apply within or contact Adam on 0299931072.","['Try the app', 'Data Scientist', '10 Feb 2020', 'Sydney', '$400- $600 per day', 'Contract/Temp', 'Information & Communication Technology', 'Share this role', '10 Feb 2020', 'Sydney', '$400- $600 per day', 'Contract/Temp', 'Information & Communication Technology']"
2,Data Scientist,"At Foxtel, we’re bringing television to Australians like never before. Our mission is to provide Australia’s best value streamed and live sport, movies, drama, news and entertainment experience.We work as a team, we’re agile and we’re accountable. We put the customer first and we’re passionate about what we do. We have fun and we’re different, better, special.Our Data & Analytics Department is seeking a Data Scientist to assist with solving FoxCo commercial and customer problems by the application of data science.  
Your purpose

Deliver components of the design, implementation and management of the Data Science capability across FoxCo
Articulate customer and commercial benefit through use of data and analytics capability
Contribute to the development and implementation of the Data Science Roadmap
Identify gaps and innovative solutions, bridging any capability gaps
Provide proactive research into emerging trends, utilising your understanding of market context as well as your own network of advisors
Contribute to the development, management and application of the catalogue of Data Science services
Proactively create new and innovative Data Science requirements
Deliver accurate and practical Data Science solutions, articulating the commercial impact and actionable recommendations
Apply processes and drive continuous improvements

Your capability

An under or post graduate degree in Data Science, Machine Learning, Computer Science, Engineering, Economics, Statistics, Mathematics or Actuarial Studies
3+ years’ experience working as a Data Scientist delivering impactful solutions to business
Experience in GCP/AWS is preferred
Proven track record of building end to end Data Science products and measuring their benefits  
Fantastic coding skills in either R or Python (preferably both), with the ability to demonstrate high quality coding practices 
The ability to workshop problems and architect projects with business stakeholders and translate them into productionised assets
Demonstrable experience of implementation across all areas of Data Science, including Statistical/Predictive/Machine Learning/Supervised and Unsupervised techniques
Great data visualisation skills  
A creative problem solver with an inquisitive nature  

Ability to communicate well and discuss complex topics with both technical and business audiences


What’s in it for you?We have a benefits program with something for everyone.  But we’re in the entertainment business and we connect Australians to all the stories they love, so what would a Foxtel benefits program be without a free Foxtel subscription and discounted broadband!Above all, we love entertainment and, if you do too, you’ll love working with us.  So if you’re excited about this opportunity, please click ‘Apply now’.
 
 ","['Try the app', 'Data Scientist', '7 Feb 2020', 'Sydney', 'Full Time', 'Information & Communication Technology', 'Share this role', '7 Feb 2020', 'Sydney', 'Full Time', 'Information & Communication Technology']"
3,Data Scientist,"Permanent opportunity for a Data Scientist to join a large financial services organisation.  Your new company  This well-known Financial Services organisation is seeking experienced Data Analyst/Data Scientist with relevant tertiary qualifications in Computer Science, Statistics / Machine Learning, quantitative finance and thrives in a challenging and dynamic collaborative environment.  Your new role  You will be joining a newly formed team made up of Data Scientists and Data Engineers working collaboratively to support the timely resolution of events by creating analytical tools and models to identify the number of customers impacted.  Key activities include; Develop the financial calculators to determine the appropriate customer compensation to ensure customers are remediated fairly, accurately and in a timely mannerBe one of the pioneers of the banks strategic data agenda by adopting cutting edge cloud based analytics technology and collaborating with the Enterprise Data team.Build, test and document calculators/models used in customer remediation events and ensure that they comply with the Model Risk Policy and maintain and leverage repository of rules, models and calculators to maximise efficiency and qualityManage the hygiene and quality of your analysis which includes documentation (e.g. processes, assumptions, risks on Wiki/Confluence/Teams), version control (e.g. GIT) and peer reviews What you'll need to succeed  To be successful you will require the following skills/ experience: Coding abilities in either Python or RData visualisationPredictive and financial modelling experienceUnderstanding of statistical techniques and approaches and the application of these for customer event analysisEngineering principles such as data sourcing, cleansing, joining and ETLMachine learning (supervised and unsupervised)Awareness of ethical and regulatory constraints in utilising various data setsPreferred knowledge of text analytics/dealing with unstructured data What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or contact Reece Curtis reece.curtis@hays.com.au if you have any questions/ queries.  SA Licence number : LHS 297508","['Try the app', 'Data Scientist', '7 Feb 2020', 'Melbourne', 'Full Time', 'Information & Communication Technology', 'Share this role', '7 Feb 2020', 'Melbourne', 'Full Time', 'Information & Communication Technology']"
4,Data Scientist,"The Opportunity: Findex has built a reputation in the financial services industry for having strong and proven strategy, a thirst for innovation and a disruptive mindset. Located in the Melbourne CBD, this position is a full-time, permanent role, offering the successful candidate a competitive remuneration package and real opportunities for career growth and advancement. We are looking for a Data Scientist to join our data science team. You will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products. You will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. This is a perfect opportunity for the successful candidate to become a part of an innovative and energetic team. Responsibilities include:  Analysing large amounts of information to discover trends and patterns; Processing, cleansing, and verifying the integrity of data used for analysis; Undertaking pre-processing of structured and unstructured data; Extending company’s data with third party sources of information when needed; Using analytics finding to select key features relevant for building analytic systems/machine learning models (Feature engineering); Building self-learning predictive models with advanced machine-learning algorithms; Combining models through ensemble modelling; Presenting information using data visualization techniques; Keeping up-to-date with latest technology trends; Doing ad-hoc analysis and presenting results in a clear manner; and Creating automated systems and constant tracking of their performance. We are looking for candidates who have:  Experienced at using statistical computer languages (Python is must, R, etc.) to manipulate data and draw insights from large data sets; Experienced working with and creating data architectures; Knowledgeable about a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. A guru in the area of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications; Confident with AWS cloud environment: S3, Redshift; Someone with strong problem-solving skills; That person who has advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases; Experienced with big data tools: Hadoop, Spark, Kafka, etc. Someone with 2+ years of experience in a Data Science role; and Experienced with relational SQL and NoSQL databases, including Postgres. Benefits for you: At Findex we have a strong commitment to learning and development, we will ensure you are provided with the necessary soft skills, technical knowledge and professional requirements to succeed.  You will have access to the Findex Academy, a specialised, multifaceted and innovative learning curriculum designed to support our people to grow and achieve at every stage of their career. Additional benefits include:  A culture that values work life balance. Be offered a career pathway and development programme tailored to your professional aspirations. Work alongside and be mentored by industry leading professionals, with access to industry leading learning and development designed to accelerate your development. In house and external training. Modern offices with dual screens, open floor plan and great facilities About Us Looking for a one of a kind career pathway with the opportunity to grow in a diverse company? Do you want to be part of a community of likeminded professionals who are revolutionising the way financial services are delivered? Look no further. Findex has offices in every capital city of Australia and a network of more than 3,000 employees across Australia and New Zealand. Now, we’re searching for a new generation of talent who are motivated to help drive growth and innovation for our business. At Findex we are committed to our employees. We offer development programs, further education, and exciting career progression opportunities, in addition to a thriving social culture that includes monthly activities and events. So, are you ready to join one of Australia’s leading financial service firms? Interested? If you are interested in joining Findex, please apply with your cover letter and resume. Find out more www.findex.com.au Applications are invited from Australian Citizens and Australian Permanent Residents only.  ","['Try the app', 'Data Scientist', '4 Feb 2020', 'Melbourne', 'Full Time', 'Science & Technology', 'Share this role', '4 Feb 2020', 'Melbourne', 'Full Time', 'Science & Technology']"
5,Data Scientist,"





 Data Scientist | Python | Strong Business Acumen |
Stakeholder Management | $130k base 
 Working closely with the Senior Manager, you will support the
business units with their business problems via an automated machine learning
platform.   

 This is an exciting time where you will be working
collaboratively with various business units to deliver insightful solutions
through the application of machine learning capabilities. You will be
responsible for building and managing collaborative relationships with a broad
audience of stakeholders, where you will represent the team and it’s capability
as the banks leading data science division. Through these relationships you
will identify new use cases and projects for the team to tackle. 

 To be considered for this role you will need: 
 A
degree in any of the following (or similar)is a must; Mathematics, Physics,
Computer Science, Engineering, Statistics  Strong
business acumen  Strong
stakeholder management and relationship building skills  A
sound understanding of Python and SQL  Analytical
tools in Excel (VBA) and Tableau.  Have
had experience in cloud based big data environments  Be
a keen number cruncher and enjoy data mining 
 You will be working in a team where curiosity is welcomed,
and commercial acumen is integral to the success of the role. Whilst a
good sense of humour is mandatory. 

 If you’re interested in being considered for this great
opportunity, then please send your resume to    ailbhe.lynch@tomexecutive.com 

","['Try the app', 'Data Scientist', '5 Feb 2020', 'Sydney', '$130k base + super + base ', 'Full Time', 'Information & Communication Technology', 'Share this role', '5 Feb 2020', 'Sydney', '$130k base + super + base ', 'Full Time', 'Information & Communication Technology']"
6,Data Scientist,"About the Role  This is a great opportunity to be a key contributor in a high-performance team of data engineers and data scientists, working collaboratively within cross-functional Remediation squads to support the timely resolution of Events across the CX Business Unit.     What you’ll be doing:  Be one of the pioneers of the strategic data agenda by adopting cutting edge cloud-based analytics technology and collaborating with the Enterprise Data team.Where necessary, come up with innovative and intuitive analytical methodologies to (a) gain insights into complex populations and (b) can triage and segment populations in rational fashion for potential testing.Learn and consider the business requirements, governance processes and regulatory requirements regarding remediation events and help stakeholders understand data analysis assumptions, constraints and outputsBuild, test and document calculators/models used in customer remediation events and ensure that they comply with the Model Risk Policy and maintain and leverage repository of rules, models and calculators to maximise efficiency and qualityBring your passion for data - participate in the Enterprise Data Analytics community and work closely with Enterprise Data to improve tools, processes or documentation if it’s not right or not workingManage the hygiene and quality of your analysis which includes documentation (e.g. processes, assumptions, risks on Wiki/Confluence/Teams), version control (e.g. GIT) and peer reviewsActively participate in our dynamic, agile team by supporting workload planning (e.g. sprint planning, sprint reviews, using Jira), working autonomously but collaboratively and suggesting improvements to help us improveRisk accountability forms part of all roles, as everyone is responsible for managing risk and compliance       Skills & Experience:   Understanding of statistical techniques and approaches and the application of these for customer event analysis Intermediate proficiency in SQL (3+ years) Solid experience in performing complex data analytics tasks in data warehouse (3+ years) Preferred hands-on coding experience in Python/R Preferred working experience on cloud platforms, including S3, Redshift and/or DynamoDB Data visualisation (e.g. Tableau, Qlik) is a plus Financial Services experience is highly regarded Communication skills (written and verbal) Ability to collaborate across teams Commercial problem-solving capability  Benefits:    Numerous programs including rewards and recognition, health and well-being; alongside a wide range of staff discounts      How to Apply:  This is a great opportunity to join an award winning company as it goes from strength to strength. If you believe this role is for you, please apply by sending your CV via the big button below","['Try the app', 'Data Scientist', '3 Feb 2020', 'Melbourne', 'Full Time', 'Information & Communication Technology', 'Share this role', '3 Feb 2020', 'Melbourne', 'Full Time', 'Information & Communication Technology']"
7,Senior Data Scientist - Machine Learning,"Amazing opportunity for a technically astute Data Scientist with strong machine learning experience to join a high profile division in a household name in the finance space. You will be joining a team of data professions in a somewhat greenfield role and have the autonomy to try new things to solve complex problems.This is a highly advanced analytics team and so prior advance data science experience (ideally in a commercial environment) is essential. You will be using advanced analytical techniques and machine learning expertise to solve critical business problems.The ideal candidate will:Have strong machine learning experience with data pipeline expereince highly advantagous Strong consulting background and proven track record of working across a range of projects Passion for Data ScienceStrong academic background eg Masters, PhD etc is highly advantageousStrong experience with python SQL, Spark,Ideally 5 years commercial data science expereince Excellent communication skillsStatistical backgroundIf this sounds like the role for you please apply now. For information on the market contact Leon Young via email lyoung@morganmckinley.com.au or call 0289863147","['Try the app', 'Senior Data Scientist - Machine Learning', '5 Feb 2020', 'Sydney', 'Full Time', 'Science & Technology', 'Share this role', '5 Feb 2020', 'Sydney', 'Full Time', 'Science & Technology']"
8,Data Scientist,"Desirable qualities:  Enthusiastic to learn and grow ​Able to structure data for qualitative and quantitative insights. Inquisitive about emerging and best-of-breed patterns and technologies for effective data handling and exploration. Possess relevant industry certifications, tertiary qualifications or evidence of ongoing self-initiated learning. Significant experience in a Data Science or Data focused role (3+ years)  Demonstrated experience with:  Enterprise architecture or solution architecture frameworks, methodologies, templates and tools. Enterprise service bus (ESB) and service-oriented architecture (SOA). Developing and maintaining data integration solutions Proficient with one or more programming language (e.g. JavaScript, Python, R, .Net, PowerShell, Power BI). Data Modelling / Simulation  Industry standard Enterprise Architecture Frameworks, (e.g. Zachman, TOGAF).  Working knowledge of:  MS Azure PaaS integration Big data processing technologies such as Spark or ADLA. IoT intelligent endpoint configuration and management. Business Intelligence, Cloud Computing and Analytics/Machine Learning  Your next step:Beacham Group welcomes your telephone enquiry. For more detailed information about this specific career opportunity, or if you would like to discuss your future career plans with a specialist career practitioner please contact either Rebecca King or Glenn Beauchamp in our Perth, Western Australia office on +61 8 6143 5000 or +61 411 116 966 for a strictly confidential discussion.","['Try the app', 'Data Scientist', '1 Feb 2020', 'Perth', 'Full Time', 'Information & Communication Technology', 'Share this role', '1 Feb 2020', 'Perth', 'Full Time', 'Information & Communication Technology']"
9,Data Scientist,"About the company  My client is a company that specialises within the Data Science space – specifically within areas such as Machine Learning and AI. Their foremost goal is to create distinct AI applications and platforms that are available to everyone, from individuals all the way up to big corporations.    About the role Within this position as a Data Scientist you will be working heavily alongside other top-tier Data Scientists and Software Engineers to provide exceptional product outcomes. You will be responsible for the architecture and development of scalable data engineering and machine learning services.    Skills & experience  You will preferably have 3 years’ experience working with:  Java 8 / Python / R Spark / Hadoop Kotlin / Scala / Go AWS or GCP  You will have:  Experience within Deep Learning, Data Structures, & Algorithms Experience within NLP / NLU Highly skilled within Machine Learning & AI Full working rights (PR / Citizenship) PhD in Computer Science or equivalent Solid stakeholder experience     Benefits  Attractive salary + stock options Flexible work / life balance Strong opportunity to learn and grow professionally Working with cutting-edge tech    How to apply  Click APPLY or Call Brianna on 03 9245 0609 for a confidential discussion.","['Try the app', 'Data Scientist', '30 Jan 2020', 'Melbourne', 'Up to $160,000 + Superannuation', 'Full Time', 'Science & Technology', 'Share this role', '30 Jan 2020', 'Melbourne', 'Up to $160,000 + Superannuation', 'Full Time', 'Science & Technology']"
